timestamp,requests_per_sec,cpu_percent,memory_bytes,errors_per_sec
1769373366.6735299,0,48.6,3749720064,0
1769373371.6774178,0.0,6.8,3885051904,0.0
1769373376.686698,0.0,0.8,3881562112,0.0
1769373381.69088,0.0,1.8,3884818432,0.0
1769373386.6999128,0.0,0.6,3887513600,0.0
1769373391.7041662,0.0,1.8,3882262528,0.0
1769373396.7068026,0.0,0.7,3882139648,0.0
1769373401.7109303,0.0,1.5,3876429824,0.0
1769373406.715477,0.0,0.6,3873718272,0.0
1769373411.7198122,0.0,1.5,3883409408,0.0
1769373416.7250156,0.0,0.7,3884236800,0.0
1769373421.7291582,0.0,1.3,3886075904,0.0
1769373426.7323833,0.0,2.4,3889131520,0.0
1769373431.7364888,0.0,1.2,3884617728,0.0
1769373436.7401888,0.0,0.6,3889807360,0.0
1769373441.7439435,0.0,1.5,3883462656,0.0
1769373446.747764,0.0,0.5,3883577344,0.0
1769373451.752063,0.0,1.6,3880546304,0.0
1769373456.7550552,0.0,0.5,3887362048,0.0
1769373461.759235,0.0,1.4,3889885184,0.0
1769373466.7628505,0.0,0.6,3890081792,0.0
1769373471.7669206,0.0,1.4,3888504832,0.0
1769373476.772255,0.0,0.6,3888779264,0.0
1769373481.7759826,0.0,1.4,3888566272,0.0
1769373486.7786748,0.0,2.6,3860643840,0.0
1769373491.7822423,0.0,1.4,3810820096,0.0
1769373496.785945,0.19985200397387912,1.4,3845881856,0.0
1769373501.7917912,0.39953284526354277,1.8,3844571136,0.0
1769373506.795791,0.5995204184274893,0.7,3845787648,0.0
1769373511.799517,0.3997021415201341,1.7,3855081472,0.0
1769373516.8016798,1.5993081606086235,0.8,3857764352,0.0
1769373521.805542,2.99768450301817,2.1,3843891200,0.0
1769373526.8107324,2.7970964055657785,0.9,3847225344,0.0
1769373531.8144248,2.9977862017199497,1.8,3854487552,0.0
1769373536.8188107,2.9973707374531657,1.0,3856326656,0.0
1769373541.8233905,4.795607432214479,2.0,3848376320,0.0
1769373546.8270035,5.595956367359592,3.1,3868643328,0.0
