Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/glossaries/,6406,0,5,4.88567181205708,2.8671559994108975,44.464137999966624,6657.0,15.235861885374774,0.0,5,5,5,5,6,6,7,7,34,44,44
,Aggregated,6406,0,5,4.88567181205708,2.8671559994108975,44.464137999966624,6657.0,15.235861885374774,0.0,5,5,5,5,6,6,7,7,34,44,44
