timestamp,requests,cpu,memory,errors
1769365705.982339,0,0,0,0
1769365711.0799766,0,0,0,0
1769365716.090262,0,0,0,0
1769365721.098937,0,0.18,75497472.0,0
1769365726.1093779,0,0.18,75497472.0,0
1769365731.119893,0,0.18,75497472.0,0
1769365736.1295438,0,0.22,79376384.0,0
1769365741.2154276,0,0.22,79376384.0,0
1769365746.2240026,0,0.22,79376384.0,0
1769365751.2355256,0,0.28,81522688.0,0
1769365756.245634,0,0.28,81522688.0,0
1769365761.2552397,0,0.28,81522688.0,0
1769365766.26279,0,0.32,81760256.0,0
1769365771.3445072,0,0.32,81760256.0,0
1769365776.3524225,0,0.32,81760256.0,0
1769365781.3630295,0,0.36,81080320.0,0
1769365786.3725092,0,0.36,81080320.0,0
1769365791.384226,0,0.36,81080320.0,0
1769365796.392071,0,0.4,81944576.0,0
1769365801.4642112,0,0.4,81944576.0,0
1769365806.4724133,0,0.4,81944576.0,0
1769365811.481411,0,0.44,79032320.0,0
1769365816.4926338,0,0.44,79032320.0,0
1769365821.503729,0,0.44,79032320.0,0
1769365826.5111208,0,0.49,81100800.0,0
1769365831.5908315,0,0.49,81100800.0,0
1769365836.5989654,0,0.49,81100800.0,0
1769365841.612902,0,0.54,81039360.0,0
1769365846.6229494,0,0.54,81039360.0,0
1769365851.634864,0,0.54,81039360.0,0
1769365856.6423895,0,0.58,81178624.0,0
1769365861.71342,0,0.58,81178624.0,0
1769365866.7217894,0,0.58,81178624.0,0
1769365871.7314441,0,0.63,81518592.0,0
1769365876.7402608,0,0.63,81518592.0,0
1769365881.7509751,0,0.63,81518592.0,0
1769365886.7604299,0,0.67,82001920.0,0
1769365891.844542,0,0.67,82001920.0,0
1769365896.853242,0,0.67,82001920.0,0
1769365901.863258,0,0.71,80936960.0,0
1769365906.874159,0,0.71,80936960.0,0
1769365911.8820398,0,0.71,80936960.0,0
1769365916.893436,0,0.76,80969728.0,0
1769365921.962855,0,0.76,80969728.0,0
1769365926.9754193,0,0.76,80969728.0,0
1769365931.9841754,0,0.8,82382848.0,0
1769366212.290045,0,0.8,82382848.0,0
1769366217.3062809,0,0.8,82382848.0,0
1769366222.3853729,0,0.8,82382848.0,0
1769366227.39701,0,0.8,82382848.0,0
1769366232.4066377,0,0.2,79036416.0,0
1769366237.4168434,0,0.2,79036416.0,0
1769366242.4267173,0,0.2,79036416.0,0
1769366247.4346843,0,0.25,79687680.0,0
1769366252.5112314,0,0.25,79687680.0,0
1769366257.520572,0,0.25,79687680.0,0
1769366262.5286767,0,0.29,80379904.0,0
1769366267.5373862,0,0.29,80379904.0,0
1769366272.5457587,0,0.29,80379904.0,0
1769366277.5543933,0,0.33,78045184.0,0
1769366282.6255548,0,0.33,78045184.0,0
1769366287.6363523,0,0.33,78045184.0,0
1769366292.6476212,0,0.38,81453056.0,0
1769366297.656127,0,0.38,81453056.0,0
1769366302.6660793,0,0.38,81453056.0,0
1769366307.6734653,0,0.42,81977344.0,0
1769366312.7526758,0,0.42,81977344.0,0
1769366317.7635164,0,0.42,81977344.0,0
1769366322.7729068,0,0.46,80773120.0,0
1769366327.7847214,0,0.46,80773120.0,0
1769366332.793795,0,0.46,80773120.0,0
1769366337.8032742,0,0.5,81960960.0,0
1769366342.8742115,0,0.5,81960960.0,0
1769366347.884317,0,0.5,81960960.0,0
1769366352.895925,0,0.55,81530880.0,0
1769366357.9092076,0,0.55,81530880.0,0
1769366362.9176476,0,0.55,81530880.0,0
1769366367.9261522,0,0.59,82075648.0,0
1769366373.005123,0,0.59,82075648.0,0
1769366378.0181851,0,0.59,82075648.0,0
1769366383.0277944,0,0.64,81784832.0,0
1769366388.0366645,0,0.64,81784832.0,0
1769366393.0438623,0,0.64,81784832.0,0
1769366398.0527291,0,0.68,81489920.0,0
1769366403.1511967,0,0.68,81489920.0,0
1769366408.1592414,0,0.68,81489920.0,0
1769366413.1677277,0,0.72,81711104.0,0
1769366418.1773083,0,0.72,81711104.0,0
1769366423.1864388,0,0.72,81711104.0,0
1769366428.1958418,0,0.83,80158720.0,0
1769366433.2705202,0,0.83,80158720.0,0
1769366438.2825797,0,0.83,80158720.0,0
1769366443.2919927,0,0.89,81690624.0,0
1769366448.3049517,0,0.89,81690624.0,0
1769366453.3144734,0,0.89,81690624.0,0
1769366458.3268182,0,0.94,83484672.0,0
1769366463.4024546,0,0.94,83484672.0,0
1769366468.4137475,0,0.94,83484672.0,0
1769366473.423607,0,0.98,83357696.0,0
1769366478.4336438,0,0.98,83357696.0,0
1769366483.441243,0,0.98,83357696.0,0
1769366488.4509592,0,1.02,83574784.0,0
1769366493.5420017,0,1.02,83574784.0,0
1769366498.5534353,0,1.02,83574784.0,0
1769366503.561986,0,1.07,81481728.0,0
1769366508.57167,0,1.07,81481728.0,0
1769366513.581979,0,1.07,81481728.0,0
1769366518.5917802,0,1.12,83030016.0,0
1769366523.6763327,0,1.12,83030016.0,0
1769366528.6849954,0,1.12,83030016.0,0
